PFR cut
0 0.0013957985179099339 0.002692659133589237 0.0039000715519864233 0.0050275254780518365 0.006084530512003846 0.007091659169127661 0.008324008867062482 0.009501598553371026 0.01063680492989459 0.011742019194234296 0.01282962283453709 0.013912007048437236 0.01500729425552027 0.01626983011722875 0.017568712561948058 0.018918052379525523 0.02032782756745442 0.021969563293720972 
0.0 5000.0 10000.0 15000.0 20000.0 25000.0 
time point_ID electrons_temperature electrons_density ions_0_temperature ions_0_density ions_1_density 
4 906 46.40892727947468 2.1145068862658e+19 42.79476322642814 4852175160928300.0 2.1145068862658e+19 
5 2664 2.257821373696258 1.6936652983242e+19 2.0189435509076574 2.4157983700149e+17 1.6936652983242e+19 
5 2665 2.9632248795693124 1.8633953776168e+19 2.6669427242366166 1.8142084283116e+17 1.8633953776168e+19 
5 2666 3.7321855788136467 2.0225922918485e+19 3.4154319856805984 1.3991033381601e+17 2.0225922918485e+19 
5 2667 4.612277762169178 2.1746113912462e+19 4.292766205048092 1.0922798308505002e+17 2.1746113912462e+19 
5 2668 5.527681059616582 2.3051002974561e+19 5.224293226184167 8.7595718391916e+16 2.3051002974561e+19 
5 2669 6.410319732659998 2.4084911678402994e+19 6.151495488713923 7.2351868097053e+16 2.4084911678402994e+19 
5 2670 7.259069132905577 2.4891059896427e+19 7.069836295809374 6.1070855994712e+16 2.4891059896427e+19 
5 2671 8.080564878803884 2.5508307378294e+19 7.98333972170212 5.2370395552704e+16 2.5508307378294e+19 
5 2672 8.883157263397905 2.5973618327529e+19 8.902828564404249 4.5409676832935e+16 2.5973618327529e+19 
5 2673 9.70094918142441 2.6330515226438e+19 9.871642374486933 3.9503442407369e+16 2.6330515226438e+19 
5 2674 10.765214836381581 2.6659480051865e+19 11.14107867971669 3.3364866602617e+16 2.6659480051865e+19 
5 2675 12.12566785942769 2.6889607977065e+19 12.71911513416778 2.7565834817391e+16 2.6889607977065e+19 
5 2676 13.521191491063883 2.6909951087214e+19 14.413249239790359 2.2888955643325e+16 2.6909951087214e+19 
5 2677 14.965079965675928 2.6693840076778e+19 16.248469630530295 1.9080097530673e+16 2.6693840076778e+19 
5 2678 16.503191311272467 2.6242079031776997e+19 18.296559090804116 1.5900717385395e+16 2.6242079031776997e+19 
5 2679 18.710021568440045 2.5400158793755e+19 21.31722736367624 1.2542352189878e+16 2.5400158793755e+19 
5 2680 22.841950071965563 2.3903738246342e+19 26.355427790076828 8974971812418399.0 2.3903738246342e+19 
5 2681 28.68340771136993 2.2539022873078e+19 31.575209663305788 6749450577385400.0 2.2539022873078e+19 
5 906 46.40892727947468 2.1145068862658e+19 42.79476322642814 4852175160928300.0 2.1145068862658e+19 
